id;asignatura;tipo;pregunta;opciones;respuesta_correcta;extra
I001;Ingles;ordenar;Order the words to make a sentence;I|like|apples;I|like|apples;Pista: sujeto-verbo-objeto
I002;Ingles;test;Choose the correct possessive: ___ apple (for a girl);Her|His|Our;Her;
I003;Ingles;verdadero_falso;These is used for things near;Verdadero|Falso;VERDADERO;
I004;Ingles;test;Choose the correct: These/Those;Those|These;Those;Pista: lejos
I005;Ingles;test;Choose the correct spelling;UK|U.K.|Unk;UK;Pista: pais en Europa
I006;Ingles;escribir;Write the country: USA;;USA;Pista: North America
I007;Ingles;ordenar;Order the words to make a sentence;We|like|apples;We|like|apples;We like apples
I008;Ingles;arrastrar;Drag the countries to the correct continent;Spain|India|USA;Europe|Asia|America;
I009;Ingles;test;Which word is correct? His/Her/Our/Their;His|Her|Our|Their;His;Pista: belongs to a boy
I010;Ingles;test;Choose the correct spelling;Train|Traiin|Trane;Train;Pista: vehiculo sobre rieles
I011;Ingles;test;On which continent is the UK located?;North America|Europe|Asia;Europe;
I012;Ingles;test;Which word is correct? His/Her/Our/Their;Her|His|Our|Their;Her;Pista: belongs to a girl
I013;Ingles;test;Choose the correct spelling;Playground|Playgrond|Plaayground;Playground;Pista: lugar para jugar
I014;Ingles;arrastrar;Match country with fruit;USA|Spain|India;Apple|Orange|Mango;Pista: fruta tipica
I015;Ingles;test;Which word is correct? His/Her/Our/Their;Their|His|Her|Our;Their;Pista: pertenece a ellos
I016;Ingles;test;Which word has the sound "ay"?;Play|Rain|Tree;Play;
I017;Ingles;test;On which continent is the USA located?;North America|Europe|Asia;North America;
I018;Ingles;test;Choose the correct: These/Those;These|Those;These;Pista: cerca
I019;Ingles;verdadero_falso;Banana is a fruit;Verdadero|Falso;VERDADERO;
I020;Ingles;test;Choose the correct spelling;Play|Plai|Playt;Play;Pista: verbo: jugar
I021;Ingles;verdadero_falso;Play has the sound "ay"?;Verdadero|Falso;VERDADERO;
I022;Ingles;test;Choose the correct spelling;This|Thiss|Thiz;This;Pista: singular cerca del hablante
I023;Ingles;verdadero_falso;Rain has the sound "ai"?;Verdadero|Falso;VERDADERO;
I024;Ingles;test;Choose the correct possessive: ___ bag (for a girl);Her|His|Their;Her;
I025;Ingles;test;Choose the correct possessive: ___ house (for us);Our|Their|His;Our;
I026;Ingles;verdadero_falso;Her is used for a boy;Verdadero|Falso;FALSO;
I027;Ingles;test;Choose the correct spelling;Neew Zeland|New Zealand|New Zeland;New Zealand;Pista: pais en Oceania
I028;Ingles;test;Choose the correct spelling;Indiia|India|Indea;India;Pista: pais de Asia
